"Timestamp","What is the address of the property","Whats the price per month","What is the link of the property"
"2025/06/27 5:12:25 pm GMT+5:30","747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895+/mo","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/.html"
"2025/06/27 5:12:31 pm GMT+5:30","Parkmerced | 3711 19th Ave, San Francisco, CA","$2,810+/mo","https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/.html"
"2025/06/27 5:12:38 pm GMT+5:30","1350 Washington Street | 1350 Washington St, San Francisco, CA","$2,195+ 1bd","https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/.html"
"2025/06/27 5:12:44 pm GMT+5:30","2775 Market St, 2775 Market St APT 102, San Francisco, CA 94114","$2,995/mo","https://www.zillow.com/apartments/san-francisco-ca/2775-market-st/5XsQ4D/.html"
"2025/06/27 5:12:49 pm GMT+5:30","Mt. Sutro, 480 Warren Dr #312, San Francisco, CA 94131","$2,895/mo","https://www.zillow.com/apartments/san-francisco-ca/mt.-sutro/5XjVRC/.html"
"2025/06/27 5:12:54 pm GMT+5:30","Konrad on the Park, 971 Eddy St #212, San Francisco, CA 94109","$2,805/mo","https://www.zillow.com/apartments/san-francisco-ca/konrad-on-the-park/9NKJXS/.html"
"2025/06/27 5:13:01 pm GMT+5:30","1188 Mission at Trinity Place | 1188 Mission St, San Francisco, CA","$1914+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/1188-mission-at-trinity-place/5XjN4q/.html"
"2025/06/27 5:13:05 pm GMT+5:30","Nob Hill Place, 1155 Jones St APT 208, San Francisco, CA 94109","$2,950/mo","https://www.zillow.com/apartments/san-francisco-ca/nob-hill-place/5XkKgw/.html"
"2025/06/27 5:13:11 pm GMT+5:30","Avalon Sunset Towers, 8 Locksley Ave, San Francisco, CA 94131","$2,917+/mo","https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/.html"
"2025/06/27 5:13:15 pm GMT+5:30","125-135 Gardenside, 125 Gardenside Dr, San Francisco, CA 94114","$2,595+/mo","https://www.zillow.com/apartments/san-francisco-ca/125.dash.135-gardenside/BjFbbM/.html"
"2025/06/27 5:13:21 pm GMT+5:30","Freedom West, 820 McAllister St, San Francisco, CA 94102","$2,000+/mo","https://www.zillow.com/apartments/san-francisco-ca/freedom-west/5mmHmr/.html"
"2025/06/27 5:13:27 pm GMT+5:30","Franklin St, 24 Franklin St #805, San Francisco, CA 94102","$2,824/mo","https://www.zillow.com/apartments/san-francisco-ca/franklin-st/9NJqFL/.html"
"2025/06/27 5:13:34 pm GMT+5:30","845 Sutter, 845 Sutter St APT 509, San Francisco, CA","$2,450/mo","https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/.html"
"2025/06/27 5:13:39 pm GMT+5:30","Loft 168, 168 Bluxome St, San Francisco, CA 94107","$2,800+/mo","https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/.html"
"2025/06/27 5:13:45 pm GMT+5:30","Mosser Towers Apartments, 455 Eddy St APT E1102, San Francisco, CA 94102","$2,450/mo","https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/.html"
"2025/06/27 5:13:50 pm GMT+5:30","1029 Geary St., 1029 Geary St, San Francisco, CA 94109","$2,095+/mo","https://www.zillow.com/apartments/san-francisco-ca/1029-geary-st./5YCgZq/.html"
"2025/06/27 5:13:56 pm GMT+5:30","33 8th at Trinity Place | 33 8th St, San Francisco, CA","$2,298+ 1bd","https://www.zillow.com/apartments/san-francisco-ca/33-8th-at-trinity-place/9NJw4S/.html"
"2025/06/27 5:14:00 pm GMT+5:30","SoMa Square | 1 Saint Francis Pl, San Francisco, CA","$2,809+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/soma-square/5Xj2Yr/.html"
"2025/06/27 5:14:07 pm GMT+5:30","480 Potrero Ave, 480 Potrero Ave #610, San Francisco, CA 94110","$2,495/mo","https://www.zillow.com/apartments/san-francisco-ca/480-potrero-ave/5mY4JQ/.html"
"2025/06/27 5:14:11 pm GMT+5:30","The Mission | 240 Dolores St, San Francisco, CA","$2,494+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/the-mission/5XjQJR/.html"
"2025/06/27 5:14:16 pm GMT+5:30","L Seven | 1222 Harrison St, San Francisco, CA","$2,775+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/l-seven/9NJtD7/.html"
"2025/06/27 5:15:03 pm GMT+5:30","Palace Court Apartments | 555 Ofarrell St, San Francisco, CA","$1,745+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/palace-court-apartments/5XjKSv/.html"
"2025/06/27 5:15:09 pm GMT+5:30","2000 Post | 2000 Post St, San Francisco, CA","$2,764+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/2000-post/5XjRNn/.html"
"2025/06/27 5:15:14 pm GMT+5:30","100 Van Ness, 100 Van Ness Ave #410, San Francisco, CA 94102","$2,940/mo","https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/.html"
"2025/06/27 5:15:20 pm GMT+5:30","HQ | 1532 Harrison St, San Francisco, CA","$2,799+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/hq/9NJthZ/.html"
"2025/06/27 5:15:25 pm GMT+5:30","AVA 55 Ninth | 55 9th St, San Francisco, CA","$2,525+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/ava-55-ninth/5XkH8X/.html"
"2025/06/27 5:15:30 pm GMT+5:30","The Bay | 2133 Stockton St, San Francisco, CA","$2,199+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/the-bay/5Xhzkj/.html"
"2025/06/27 5:15:35 pm GMT+5:30","Lofts at Seven | 277 Golden Gate Ave, San Francisco, CA","$1,995+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/lofts-at-seven/5XmsgS/.html"
"2025/06/27 5:15:41 pm GMT+5:30","347 Eddy St. | 347 Eddy St, San Francisco, CA","$1,895+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/347-eddy-st./5XxfK3/.html"
"2025/06/27 5:15:50 pm GMT+5:30","Solaire | 299 Fremont St, San Francisco, CA","$2,898+ 1 bd","https://www.zillow.com/b/solaire-san-francisco-ca-65g7KK/.html"
"2025/06/27 5:15:54 pm GMT+5:30","Marina Cove Apartments, 1550 Bay St APT B225, San Francisco, CA 94123","$2,999/mo","https://www.zillow.com/apartments/san-francisco-ca/marina-cove-apartments/5XjRBB/.html"
"2025/06/27 5:16:00 pm GMT+5:30","Avalon Dogpatch, 800 Indiana St, San Francisco, CA 94107","$2,830+/mo","https://www.zillow.com/apartments/san-francisco-ca/avalon-dogpatch/5Yy5Rr/.html"
"2025/06/27 5:16:07 pm GMT+5:30","The Gateway, 430 Davis Ct #3-0306, San Francisco, CA 94111","$2,895/mo","https://www.zillow.com/apartments/san-francisco-ca/the-gateway/5Xkxvk/.html"
"2025/06/27 5:16:11 pm GMT+5:30","50 Laguna, 50 Laguna St APT 604, San Francisco, CA 94102","$2,775/mo","https://www.zillow.com/apartments/san-francisco-ca/50-laguna/5XjSDX/.html"
"2025/06/27 5:16:20 pm GMT+5:30","828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395/mo","https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/.html"
"2025/06/27 5:16:27 pm GMT+5:30","The Fillmore Center, 1475 Fillmore St #S30305, San Francisco, CA 94115","$2,998/mo","https://www.zillow.com/apartments/san-francisco-ca/the-fillmore-center/5XjVzy/.html"
"2025/06/27 5:16:35 pm GMT+5:30","1333 Gough Apartments at Cathedral Hall, 1333 Gough St APT 1G, San Francisco, CA 94109","$2,895+/mo","https://www.zillow.com/apartments/san-francisco-ca/1333-gough-apartments-at-cathedral-hall/5XjRmn/.html"
"2025/06/27 5:16:41 pm GMT+5:30","1177 Market at Trinity Place | 1177 Market St, San Francisco, CA","$2,773+ 1 bd","https://www.zillow.com/apartments/san-francisco-ca/1177-market-at-trinity-place/BNjvdD/.html"
"2025/06/27 5:16:46 pm GMT+5:30","300 Buchanan, 300 Buchanan St #202, San Francisco, CA 94102","$2,975/mo","https://www.zillow.com/apartments/san-francisco-ca/300-buchanan/5XjW2N/.html"
"2025/06/27 5:16:52 pm GMT+5:30","923 Folsom, 923 Folsom St APT 506, San Francisco, CA 94107","$2,816/mo","https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/.html"
"2025/06/27 5:17:00 pm GMT+5:30","Hanover Soma West, 1140 Harrison St #138, San Francisco, CA 94103","$2,974/mo","https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/.html"
"2025/06/27 5:17:08 pm GMT+5:30","Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704/mo","https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/.html"
"2025/06/27 5:17:13 pm GMT+5:30","NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810+/mo","https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/.html"
"2025/06/27 5:17:19 pm GMT+5:30","The Landing | 1395 22nd St, San Francisco, CA","$2,798+ 1bd","https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/.html"